goos: linux
goarch: amd64
pkg: github.com/Chroq/HashBreaker/pkg
cpu: Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz
BenchmarkNewReferential/z3D_MapReferential-8         	      40	  27297243 ns/op	30611462 B/op	    1558 allocs/op
BenchmarkNewReferential/z3D_MapReferential-8         	      37	  28695765 ns/op	30611234 B/op	    1558 allocs/op
BenchmarkNewReferential/z3D_MapReferential-8         	      40	  29916132 ns/op	30610947 B/op	    1557 allocs/op
BenchmarkNewReferential/z3D_MapReferential-8         	      43	  25939714 ns/op	30610868 B/op	    1557 allocs/op
BenchmarkNewReferential/z3D_MapReferential-8         	      42	  28312200 ns/op	30610757 B/op	    1557 allocs/op
BenchmarkNewReferential/z3D_MapReferential-8         	      36	  36643405 ns/op	30610778 B/op	    1557 allocs/op
BenchmarkNewReferential/Sh3n_MapReferential-8        	       1	2341657368 ns/op	1617479304 B/op	   66072 allocs/op
BenchmarkNewReferential/Sh3n_MapReferential-8        	       1	2126949486 ns/op	1617479304 B/op	   66072 allocs/op
BenchmarkNewReferential/Sh3n_MapReferential-8        	       1	2266230846 ns/op	1617479528 B/op	   66074 allocs/op
BenchmarkNewReferential/Sh3n_MapReferential-8        	       1	2081929860 ns/op	1617479304 B/op	   66072 allocs/op
BenchmarkNewReferential/Sh3n_MapReferential-8        	       1	2072555327 ns/op	1617478968 B/op	   66069 allocs/op
BenchmarkNewReferential/Sh3n_MapReferential-8        	       1	2007318811 ns/op	1617478968 B/op	   66069 allocs/op
BenchmarkGet/z3D_MapReferential-8                    	30096544	        34.92 ns/op	       3 B/op	       1 allocs/op
BenchmarkGet/z3D_MapReferential-8                    	33756050	        32.92 ns/op	       3 B/op	       1 allocs/op
BenchmarkGet/z3D_MapReferential-8                    	37105156	        33.41 ns/op	       3 B/op	       1 allocs/op
BenchmarkGet/z3D_MapReferential-8                    	31162286	        35.92 ns/op	       3 B/op	       1 allocs/op
BenchmarkGet/z3D_MapReferential-8                    	33712533	        33.43 ns/op	       3 B/op	       1 allocs/op
BenchmarkGet/z3D_MapReferential-8                    	36261348	        33.53 ns/op	       3 B/op	       1 allocs/op
BenchmarkGet/z3D_GetRaw-8                            	52025709	        21.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/z3D_GetRaw-8                            	56667100	        21.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/z3D_GetRaw-8                            	54538022	        20.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/z3D_GetRaw-8                            	61989604	        22.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/z3D_GetRaw-8                            	53732524	        22.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/z3D_GetRaw-8                            	51912525	        20.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Sh3n_MapReferential-8                   	33325520	        37.43 ns/op	       4 B/op	       1 allocs/op
BenchmarkGet/Sh3n_MapReferential-8                   	28338826	        39.00 ns/op	       4 B/op	       1 allocs/op
BenchmarkGet/Sh3n_MapReferential-8                   	29423443	        37.62 ns/op	       4 B/op	       1 allocs/op
BenchmarkGet/Sh3n_MapReferential-8                   	30144246	        35.77 ns/op	       4 B/op	       1 allocs/op
BenchmarkGet/Sh3n_MapReferential-8                   	32906702	        40.77 ns/op	       4 B/op	       1 allocs/op
BenchmarkGet/Sh3n_MapReferential-8                   	31509579	        37.38 ns/op	       4 B/op	       1 allocs/op
BenchmarkGet/Sh3n_GetRaw-8                           	55728744	        21.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Sh3n_GetRaw-8                           	55857604	        21.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Sh3n_GetRaw-8                           	51551048	        22.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Sh3n_GetRaw-8                           	55169614	        20.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Sh3n_GetRaw-8                           	58036508	        22.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Sh3n_GetRaw-8                           	56407608	        21.78 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/Chroq/HashBreaker/pkg	70.842s
